,Unnamed: 0,Unnamed: 0.1,index,created_at,id,text,language,shingleSet,signature,builtModel_sentiment,vader_score
15,15,17,17.0,Mon May 03 23:59:10 +0000 2021,1.389368970482946e+18,   Romance  Magic A SUMMER BEWITCHMENT  UK    I am the troll king of this ,en,"{431050760, 4013102741, 1879038617, 2897303200, 161051174, 3786665386, 1926969786, 263341767, 52418889, 2522336845, 3136208472, 893756638, 3989141346, 2933812451, 1569210980, 2481981671, 3386001008, 1567706106, 3286379135}","[459322846, 49094518, 471159743, 62152999, 93696932, 528605955, 400245953, 326294843, 206266703, 692995379]",1,0.5574
16,16,18,18.0,Mon May 03 23:59:09 +0000 2021,1.3893689649045873e+18,  Cloak your brain powered meat mech humanoid body with a Shantae Game Boy Color style shirt  Sold via Amazon Prime   ,en,"{2309475721, 2331778571, 3204467852, 1151433229, 2095064590, 2512558222, 4013102741, 2975027741, 2574270506, 531182775, 388764473, 1170976064, 416279241, 98018386, 3302302933, 3903095510, 482749275, 3738429405, 1314327261, 3256526826, 1176485612, 1581207796, 2951707252, 465876988}","[175752032, 341415384, 148876111, 5968483, 231434715, 154602059, 18222153, 176354559, 49840358, 150850485]",1,0.1779
17,17,19,19.0,Mon May 03 23:59:08 +0000 2021,1.3893689629374136e+18,Have your favorite coffee  amp  tea in the  MAGA mug  ,en,"{403950976, 4043343135, 2473821448, 2460481386, 3492235570, 2614503731, 2283065650, 3018824882, 577895124, 945690553, 4050566106, 573495162, 911350591}","[127374619, 1200797320, 9663414, 849133079, 1045488630, 942570802, 28296880, 152934342, 103910864, 60259472]",1,0.4588
18,18,20,20.0,Mon May 03 23:59:05 +0000 2021,1.389368947762475e+18,In Stock     Price and stock availability are subject to change daily  Amazon UK affiliate l  ,en,"{2850741635, 2433166346, 4195050640, 2555779348, 4013102741, 560350873, 3152747564, 1773886133, 2350847545, 3430521403, 2008856379, 275181372, 3994588093, 951457856, 3480590536, 3346791257, 1630053214, 3355779576, 1452578810}","[229464551, 134879644, 352608823, 58424456, 417169546, 331003738, 162034666, 247523392, 9868589, 294095518]",-1,0.1779
19,19,21,21.0,Mon May 03 23:59:02 +0000 2021,1.3893689377966858e+18,    Off    Cra Z Art Mini Twist Up Crayons     Count      BwcDeals  DogeDay     ,en,"{2934592514, 4071689732, 1335245703, 2147994377, 749129236, 4013102741, 1264694678, 3595113494, 3766231970, 504694820, 3611787183, 3118497218, 1744973251, 1059377988, 183231302, 2018022990, 2713133418, 3784798316, 3481047035, 116663932, 3811153534}","[40617950, 341148495, 34591480, 30043873, 128037795, 31771883, 260033906, 147198385, 445582591, 47287081]",1,0.0
20,20,22,22.0,Mon May 03 23:59:00 +0000 2021,1.3893689282127503e+18,    Ring Light Bundle for           Save     with promo code   RFDK       Seller MUST be Moo  ,en,"{76694145, 3947063298, 3464214147, 4000049034, 1075781259, 676968847, 4013102741, 3781430423, 3901776413, 970926624, 1886540094, 2030374597, 364031173, 2015327175, 3898934471, 513668042, 396865491, 1234888413, 824735718, 2609652587, 2747253101, 1250568945, 2409561467, 521054717}","[59211994, 74969349, 150754471, 81712332, 17257008, 34038345, 54343043, 42762762, 63818508, 128178149]",1,0.4939
21,21,23,23.0,Mon May 03 23:58:53 +0000 2021,1.3893688999682417e+18, Thanks for that information  You can learn more here    Tenisha,en,"{3378004417, 2050746821, 3645787046, 270741896, 4152907342, 1445842259, 2771739123, 3737522069, 1480216693, 4013102741, 298890874, 3005722843, 628601119}","[228917041, 6708492, 1096170693, 734009341, 178762202, 34368662, 64493767, 326294843, 99235861, 233496637]",1,0.4404
22,22,24,24.0,Mon May 03 23:58:49 +0000 2021,1.3893688832958833e+18,  Have you watched  Powerstar  PawanKalyan s  VakeelSaabOnPrime yet    ICYMI         ,en,"{3425012608, 2974225888, 469900132, 2693133180, 1856351593, 946527049, 1223624809, 301729007, 614928883, 3272259188, 3700364885, 1934913910, 1043907990, 3682178680, 4013102741, 2493956636, 116396255}","[440229642, 329289927, 69021748, 718420503, 1490263910, 365323237, 1862799937, 100525190, 31056559, 1025448120]",1,0.0
23,23,25,25.0,Mon May 03 23:58:47 +0000 2021,1.3893688758888202e+18,  Just saw this on Amazon  Topmelon Women s Bustier Corset Sexy Girdle Waist Cincher with Garter Belt by TOPMELON for       ,en,"{3031854594, 2803059082, 1054619788, 3135127313, 1440597139, 4013102741, 2358262807, 2392458402, 2421492262, 2941811499, 1998918580, 1963613111, 3639653433, 697190972, 3455533892, 1314902220, 1074572748, 358928727, 3689716059, 2185627235, 3315633765, 1832250598, 1473356904, 1250568945}","[653840855, 314269448, 58530819, 43774596, 40309209, 24869350, 1752126, 42762762, 37769243, 192386842]",1,0.6249
24,24,26,26.0,Mon May 03 23:58:41 +0000 2021,1.3893688483616563e+18,emote Control Cars   RC Car Toys  WD Stunt Car      Rotating Toy CRADREAM    GHz  offers  deals  Amazon  Clip a ex  ,en,"{2877724673, 2937849089, 2491310595, 1205567371, 3909692303, 679611154, 4013102741, 876601238, 776826394, 3222384285, 1356258339, 836941991, 4224271662, 3652511151, 1518857011, 2742353334, 3731036478, 1941381442, 2177113161, 1833827148, 1517597005, 2434258257, 559631825, 482851798, 3146085720, 976331225, 2771860968, 3912360937, 1300520555, 3818834028, 3921739632}","[349596496, 43028189, 273118257, 180295050, 105190890, 46640786, 23957688, 7446624, 227129703, 72821215]",-1,0.7297
25,25,27,27.0,Mon May 03 23:58:41 +0000 2021,1.3893688480428974e+18,   PRE ORDER   The Great Cleric  Vol    eBook   June     JNC   BOOK WALKER   No ,en,"{181151872, 1769274500, 1369906310, 356280967, 1939648264, 2879068680, 4245888013, 395987597, 3793530511, 1542655376, 4013102741, 3320039830, 1479016473, 681215003, 2919422752, 1553499443, 474359734, 2487038009, 519017785, 578389832, 3840783181, 3044182734, 2573331923, 1163318110, 271756512, 3916336623, 1312606458}","[54104372, 214354578, 62889030, 10140511, 696184745, 93429133, 20894452, 81843538, 49222501, 56466953]",1,0.4404
26,26,28,28.0,Mon May 03 23:58:38 +0000 2021,1.3893688378255196e+18,  Just saw this on Amazon  The Pirate  Bloodlands collection  by Schechter  Harold for        via  ,en,"{291635078, 418185607, 2803059082, 1054619788, 459745041, 1440597139, 4013102741, 2347585816, 4218077364, 4075296313, 697190972, 261965379, 2446949064, 2465418185, 1228516824, 3689716059, 3553544672, 583745761, 2185627235, 2032657125, 2342790379, 1250568945, 2920496628}","[325309514, 186064132, 149103224, 14602334, 61403635, 128174267, 22285400, 7576172, 50643879, 193773228]",1,0.1779
27,27,29,29.0,Mon May 03 23:58:38 +0000 2021,1.3893688373557084e+18,    o    Check out this Amazon deal   New Release DKnight Magicbox II Bluetooth       by DKnight  amazon    ,en,"{1593029644, 188656784, 649335315, 4013102741, 775606041, 2407909273, 533246618, 510407579, 1407272104, 3341416063, 391359541, 1899030074, 503826514, 1804158044, 1846581214, 2673651425, 1663870563, 304107877, 1627523813, 940121576, 3371791978, 4208188779, 1814983661, 916319614, 1899416063}","[210411678, 161240704, 134606885, 262267391, 82167985, 59072585, 51651140, 326294843, 154305675, 74265645]",1,0.3767
28,28,30,30.0,Mon May 03 23:58:35 +0000 2021,1.3893688247477248e+18,Starfinder Adventure Path  Waking the Worldseed      off and part of the big buy one get one half off book sale   ,en,"{4219208572, 348020107, 229570322, 4013102741, 2012821271, 2451221400, 4174768411, 1872293023, 884193444, 153142571, 3932910764, 3076660028, 3463896258, 2781503299, 430083145, 3101152974, 1790129494, 1911751384, 513074524, 1834343015, 1932325750, 979224054, 2861778427, 2164141820}","[134227992, 145782644, 309471138, 81938666, 124551825, 45509080, 122627434, 175359750, 324173160, 106273451]",1,0.3182
