,Classifier,TfidfVectorizer_ngram,TfidfVectorizer_mindf,Ac,crossval_train_score_mean,crossval_test_score_mean,Time,Ac_rank,Time_rank
0,"MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)",1,1,0.7365,0.9299166666666667,0.7235,1.0075218677520752,22.0,27.0
1,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",1,1,0.74225,0.927,0.7271666666666667,1.0315430164337158,16.0,24.0
2,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",1,1,0.7525,0.8789166666666667,0.742,0.9847509860992432,7.0,28.0
3,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",1,1,0.7465,0.9859166666666667,0.73175,1.0228159427642822,11.5,25.0
4,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",1,1,0.67475,0.6983333333333334,0.6704166666666667,3.4916720390319824,32.0,3.0
5,"RidgeClassifier(alpha=1.0, class_weight=None, copy_X=True, fit_intercept=True,
        max_iter=None, normalize=False, random_state=None, solver='auto',
        tol=0.001)",1,1,0.7465,0.9632499999999999,0.7366666666666666,1.2268078327178955,11.5,19.0
6,"PassiveAggressiveClassifier(C=1.0, average=False, class_weight=None,
              fit_intercept=True, loss='hinge', max_iter=None, n_iter=None,
              n_jobs=1, random_state=None, shuffle=True, tol=None,
              verbose=0, warm_start=False)",1,1,0.7415,0.9916666666666667,0.7175,0.9709560871124268,17.0,29.0
7,"Perceptron(alpha=0.0001, class_weight=None, eta0=1.0, fit_intercept=True,
      max_iter=None, n_iter=None, n_jobs=1, penalty=None, random_state=0,
      shuffle=True, tol=None, verbose=0, warm_start=False)",1,1,0.7015,0.9670833333333333,0.70025,1.059528112411499,27.0,21.0
8,"MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)",2,1,0.75825,0.98875,0.73625,2.954146146774292,1.0,5.0
9,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",2,1,0.73275,0.9841666666666666,0.7154166666666666,2.9222540855407715,23.0,6.0
10,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",2,1,0.7485,0.94075,0.7414166666666666,2.691632032394409,9.0,10.0
11,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",2,1,0.758,0.9996666666666667,0.74275,2.7026939392089844,2.0,9.0
12,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",2,1,0.6855,0.6954166666666667,0.6749166666666666,8.99820590019226,29.0,1.0
13,"RidgeClassifier(alpha=1.0, class_weight=None, copy_X=True, fit_intercept=True,
        max_iter=None, normalize=False, random_state=None, solver='auto',
        tol=0.001)",2,1,0.7575,0.9976666666666667,0.7450000000000001,2.985179901123047,3.0,4.0
14,"PassiveAggressiveClassifier(C=1.0, average=False, class_weight=None,
              fit_intercept=True, loss='hinge', max_iter=None, n_iter=None,
              n_jobs=1, random_state=None, shuffle=True, tol=None,
              verbose=0, warm_start=False)",2,1,0.757,0.9998333333333334,0.73825,2.3779618740081787,4.0,13.0
15,"Perceptron(alpha=0.0001, class_weight=None, eta0=1.0, fit_intercept=True,
      max_iter=None, n_iter=None, n_jobs=1, penalty=None, random_state=0,
      shuffle=True, tol=None, verbose=0, warm_start=False)",2,1,0.73925,0.996,0.7154166666666667,2.4626739025115967,19.0,12.0
16,"MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)",1,2,0.74375,0.8595833333333334,0.7264166666666667,1.0105619430541992,15.0,26.0
17,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",1,2,0.74525,0.8478333333333333,0.7259166666666668,1.0734279155731201,13.0,20.0
18,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",1,2,0.75275,0.8444166666666666,0.7436666666666667,1.058319091796875,6.0,22.0
19,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",1,2,0.73825,0.9184166666666667,0.7238333333333333,0.9669010639190674,20.0,30.0
20,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",1,2,0.6785,0.6946666666666667,0.6655,2.888429880142212,31.0,7.0
21,"RidgeClassifier(alpha=1.0, class_weight=None, copy_X=True, fit_intercept=True,
        max_iter=None, normalize=False, random_state=None, solver='auto',
        tol=0.001)",1,2,0.74125,0.8999166666666667,0.731,1.049846887588501,18.0,23.0
22,"PassiveAggressiveClassifier(C=1.0, average=False, class_weight=None,
              fit_intercept=True, loss='hinge', max_iter=None, n_iter=None,
              n_jobs=1, random_state=None, shuffle=True, tol=None,
              verbose=0, warm_start=False)",1,2,0.7125,0.9195833333333334,0.7159166666666668,0.875478982925415,25.0,31.0
